Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²
Linear Regression,242457.77408897865,99101.92451097239,90225.93520915657,63491.712618419966,0.8430118605918231,0.8822163082822391
Random Forest,139227.94511453455,47274.477821477456,26579.421799070915,22376.818518187665,0.9482336622518887,0.9731975517221378
Gradient Boosting,295.3265679658279,66533.72279869534,222.66764117961003,25253.69784596809,0.9999997670838238,0.9469109890415963
